alloc_method,weight_scheme,mu_pi_num,fee_num,willing_share_num
"2a. weighted lottery, old wage levels",eligible applicants,-0.1,45000,0.7138862710450107
"2a. weighted lottery, old wage levels",eligible applicants,-0.1,50000,0.6879263404178735
"2a. weighted lottery, old wage levels",eligible applicants,-0.1,55000,0.663134295390959
"2a. weighted lottery, old wage levels",eligible applicants,-0.1,60000,0.6395864215710335
"2a. weighted lottery, old wage levels",eligible applicants,-0.1,65000,0.6171874948870237
"2a. weighted lottery, old wage levels",eligible applicants,-0.1,70000,0.5958997611217459
"2a. weighted lottery, old wage levels",eligible applicants,-0.1,75000,0.575629673260361
"2a. weighted lottery, old wage levels",eligible applicants,-0.1,80000,0.5561937777123317
"2a. weighted lottery, old wage levels",eligible applicants,-0.1,85000,0.5375477756507796
"2a. weighted lottery, old wage levels",eligible applicants,-0.1,90000,0.5195089088499486
"2a. weighted lottery, old wage levels",eligible applicants,-0.1,95000,0.5020345146353832
"2a. weighted lottery, old wage levels",eligible applicants,-0.1,100000,0.48513596426643113
"2a. weighted lottery, old wage levels",eligible applicants,-0.1,105000,0.4687121435232905
"2a. weighted lottery, old wage levels",eligible applicants,-0.1,110000,0.4527560578543497
"2a. weighted lottery, old wage levels",eligible applicants,-0.1,115000,0.43720189302835466
"2a. weighted lottery, old wage levels",eligible applicants,-0.1,120000,0.42210961403164304
"2a. weighted lottery, old wage levels",eligible applicants,-0.1,125000,0.4074038760450923
"2a. weighted lottery, old wage levels",eligible applicants,-0.1,130000,0.39309216446604145
"2a. weighted lottery, old wage levels",eligible applicants,-0.1,135000,0.3791633534580082
"2a. weighted lottery, old wage levels",eligible applicants,-0.1,140000,0.3656429260949948
"2a. weighted lottery, old wage levels",eligible applicants,-0.1,145000,0.35247631669366314
"2a. weighted lottery, old wage levels",eligible applicants,-0.1,150000,0.33970716961992187
"2a. weighted lottery, old wage levels",eligible applicants,-0.1,155000,0.327229993946236
"2a. weighted lottery, old wage levels",eligible applicants,-0.1,160000,0.31511031757718555
"2a. weighted lottery, old wage levels",eligible applicants,-0.1,165000,0.3032837579148872
"2a. weighted lottery, old wage levels",eligible applicants,-0.1,170000,0.2917943683633567
"2a. weighted lottery, old wage levels",eligible applicants,-0.1,175000,0.28061412981233336
"2a. weighted lottery, old wage levels",eligible applicants,-0.1,180000,0.26975437261735313
"2a. weighted lottery, old wage levels",eligible applicants,-0.1,185000,0.2591489962204878
"2a. weighted lottery, old wage levels",eligible applicants,-0.1,190000,0.24882143850521113
"2a. weighted lottery, old wage levels",eligible applicants,-0.1,195000,0.23879742796838938
"2a. weighted lottery, old wage levels",eligible applicants,-0.1,200000,0.2290226852533582
